id,host_id,availability_365,number_of_reviews_ltm
3376885,17036488,341,52.0
7488858,3744544,317,52.0
40280595,302714385,317,52.0
588412506005547288,225962284,78,52.0
566712166592086534,225962284,42,52.0
663385575050916602,40788593,124,52.0
34855635,40676061,89,52.0
19278720,299462,308,52.0
915032631480292375,3556337,298,52.0
1826858,11043739,315,52.0
829229988526268828,1420606,262,52.0
669177034776921808,20106324,316,52.0
694758667484779510,457885078,82,52.0
685955392322618305,193643890,239,52.0
871571866776383487,510429037,66,52.0
671712387156408741,449211870,31,52.0
29119342,10984482,126,52.0
868044553248927661,1477671,25,51.0
600371086640483735,116349526,91,51.0
1052258949971589061,552103544,60,51.0
23664180,126010926,76,51.0
5178129,26781307,207,51.0
1681925,8743859,102,51.0
50775189,362312215,95,51.0
50786688,371894667,56,51.0
